event_id,event_name,datetime,city,country,location,data_navigate
896940,Paul McCartney,2015-06-18 12:00:00,Dover,USA,The Woodlands,www.viagogo.com/ww/Concert-Tickets/Alternative-and-Indie/Kings-of-Leon-Tickets/E-896940
700839,Paul McCartney,2015-07-04 11:00:00,Roskilde,Denmark,Dyrskuepladsen,www.viagogo.com/ww/Festival-Tickets/International-Festivals/Roskilde-Festival-Tickets/E-700839
896267,Paul McCartney,2015-07-07 19:30:00,Oslo,Norway,Telenor Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-896267
896268,Paul McCartney,2015-07-09 19:30:00,Stockholm,Sweden,Tele 2 Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Paul-McCartney-Tickets/E-896268
740223,U2,2015-05-14 18:00:00,Vancouver,Canada,Rogers Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/U2-Tickets/E-740223
740225,U2,2015-05-15 18:00:00,Vancouver,Canada,Rogers Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/U2-Tickets/E-740225
740231,U2,2015-05-18 18:00:00,San Jose,USA,SAP Center (formerly HP Pavilion),www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/U2-Tickets/E-740231
740233,U2,2015-05-19 18:00:00,San Jose,USA,SAP Center (formerly HP Pavilion),www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/U2-Tickets/E-740233
740238,U2,2015-05-22 18:00:00,Phoenix,USA,US Airways Center,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/U2-Tickets/E-740238
740243,U2,2015-05-23 18:00:00,Phoenix,USA,US Airways Center,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/U2-Tickets/E-740243
740248,U2,2015-05-26 18:00:00,Inglewood,USA,The Forum,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/U2-Tickets/E-740248
